neo_state_code	neo_county_code	reference_recording_year	reference_doc_number	neo_ref_inst_nbr	neo_ref_inst_nbr_alias
FL	27	2015	E2015067108	2015E20150671	
FL	48	2022	E20220126095	E20220126095	
FL	29	2020	E2020396789	2020E20203967	
FL	33	2021	E202133003665	E202133003665	
FL	48	2022	E20220245391	E20220245391	
FL	29	2021	E2021528022	2021E20215280	
FL	29	2021	E2021028543	2021E20210285	
FL	36	2020	E2020000071861	E202000007186	
FL	50	2020	E 20200130669	E20200130669	
FL	36	2020	E2020000221658	E202000022165	
FL	48	2021	E20210499867	E20210499867	
FL	23	2022	E202223000483	E202223000483	
FL	48	2020	E20200497328	E20200497328	
FL	29	2020	E2020316938	2020E20203169	
FL	29	2021	E2021268738	2021E20212687	
FL	29	2022	E2022267224	2022E20222672	
FL	29	2020	E 2020301614	E2020301614	
FL	50	2020	E 20200130769	E20200130769	
FL	36	2019	E2019000253456	E201900025345	
FL	29	2022	E2022057244	2022E20220572	
FL	29	2020	E2020211634	2020E20202116	
FL	29	2020	E2020175310	2020E20201753	
